Game Duration,Game Mode,Champion,Kills,Deaths,Assists,Lane,Gold Earned,Damage Dealt to Objectives,Total Damage Dealt,Total Damage Dealt to Champions,Total Damage Taken,Total Minions Killed,Physical Damage Dealt,Magic Damage Dealt,Riot ID Game Name,Win
25:03,CLASSIC,Lux,9,2,11,BOTTOM,10637,7320,125103,24167,9324,136,14733,106601,Nixk,True
47:34,CLASSIC,Irelia,2,21,4,TOP,12671,6399,221483,32349,64821,185,160556,41064,Nixk,False
19:33,CLASSIC,Irelia,1,7,0,NONE,4405,834,40448,4469,18777,54,33775,6457,Nixk,False
33:33,CLASSIC,Irelia,2,14,4,MIDDLE,10332,12480,122610,13225,41041,127,100708,19426,Nixk,True
30:21,CLASSIC,Irelia,1,14,3,TOP,10904,8367,186114,16419,36109,193,162155,22366,Nixk,False
31:30,CLASSIC,Brand,6,8,7,MIDDLE,11102,5958,142029,28218,28940,164,14182,127346,Nixk,True
33:45,CLASSIC,Lux,0,12,4,MIDDLE,8208,6504,121129,22203,30891,112,12067,107835,Nixk,False
24:04,CLASSIC,Lux,7,0,6,TOP,10952,9556,123183,21058,9083,137,19501,99509,Nixk,True
31:39,CLASSIC,Jhin,8,5,8,BOTTOM,11582,10140,138346,25180,19528,115,122915,5654,Nixk,True
23:30,CLASSIC,Jhin,18,6,6,BOTTOM,12662,14390,118621,23094,17988,115,106800,7886,Nixk,True
26:01,CLASSIC,Jinx,6,10,5,BOTTOM,10329,2676,84008,23860,24109,99,78327,1316,Nixk,False
35:34,CLASSIC,Azir,3,14,7,MIDDLE,10832,11936,170126,20541,35409,142,16463,150067,Nixk,False
18:17,CLASSIC,Ahri,5,2,2,NONE,6559,660,53850,9250,11420,83,9906,26162,Nixk,False
33:03,CLASSIC,Lux,8,9,5,MIDDLE,12520,3122,135431,31225,24822,143,22179,107995,Nixk,False
32:09,CLASSIC,Azir,5,7,10,MIDDLE,10533,4637,92692,18463,28327,105,13669,73533,Nixk,True
32:07,CLASSIC,Talon,2,12,4,MIDDLE,8315,3822,96425,10497,30922,124,95181,192,Nixk,False
27:00,CLASSIC,Ahri,5,11,12,MIDDLE,7892,6243,82173,17849,23192,82,13118,39201,Nixk,True
25:04,CLASSIC,Azir,0,6,2,MIDDLE,6190,2682,75252,7507,18575,117,16667,56514,Nixk,False
19:28,CLASSIC,Lux,1,2,2,NONE,5876,1943,79302,8675,6168,117,13967,64720,Nixk,True
28:40,CLASSIC,Lux,8,9,4,MIDDLE,9636,2652,106713,26673,22298,121,13121,89065,Nixk,False
25:40,CLASSIC,Lux,3,10,6,MIDDLE,7182,3941,95706,19857,19554,99,13244,81247,Nixk,False
45:40,CLASSIC,Brand,6,17,9,MIDDLE,14508,8301,193566,31976,49307,176,20778,170871,Nixk,False
15:34,CLASSIC,Lux,5,2,0,NONE,5016,161,57816,9061,8198,66,12716,33861,Nixk,True
33:37,CLASSIC,Karthus,10,11,5,MIDDLE,12347,9008,161585,47435,30609,137,5869,151851,Nixk,False
32:50,CLASSIC,Lux,10,7,17,MIDDLE,12178,5292,138094,45852,22109,108,12443,123714,Nixk,True
35:35,CLASSIC,Lux,11,12,9,MIDDLE,13625,5157,154061,37693,32247,115,17435,128357,Nixk,True
2:30,CLASSIC,Lux,0,0,0,NONE,701,0,2624,295,915,6,990,1623,Nixk,False
17:02,CLASSIC,Brand,4,5,6,NONE,5606,347,49822,13262,10467,71,10675,39067,Nixk,True
31:45,CLASSIC,Azir,2,12,5,MIDDLE,8047,4271,92150,11974,31275,97,13811,66089,Nixk,False
28:37,CLASSIC,Karthus,2,6,14,JUNGLE,10787,24850,221685,21630,28790,18,11223,162490,Nixk,True
24:58,CLASSIC,Galio,1,6,4,MIDDLE,6250,565,74595,9219,24411,95,6943,65100,Nixk,False
20:08,CLASSIC,Tristana,0,6,1,MIDDLE,5657,3567,62869,6523,15162,86,54460,7943,Nixk,False
30:24,CLASSIC,Lux,4,11,4,MIDDLE,10391,6641,115161,16514,27458,125,16957,92692,Nixk,False
33:49,CLASSIC,Lux,2,7,20,MIDDLE,12164,10962,163422,39975,22377,131,17358,130594,Nixk,True
36:47,CLASSIC,Lux,8,3,7,MIDDLE,13815,9136,173495,34500,17415,153,22584,147784,Nixk,False
40:31,CLASSIC,Jinx,12,14,12,BOTTOM,15584,19191,196615,45739,47583,153,188457,1649,Nixk,False
22:47,CLASSIC,Karthus,3,12,4,BOTTOM,6763,9729,82428,24274,20033,92,2715,76172,Nixk,False
36:33,CLASSIC,Karthus,18,12,8,BOTTOM,18612,21589,204532,59924,35203,170,4562,197388,Nixk,True
28:03,CLASSIC,Lux,1,5,1,MIDDLE,7797,1264,105174,13058,15970,137,19000,85218,Nixk,False
33:43,CLASSIC,Lux,3,5,9,MIDDLE,10605,7297,109628,17381,21989,116,23305,84890,Nixk,True
40:14,CLASSIC,Brand,4,7,3,MIDDLE,11907,10598,148241,18938,37825,160,23741,121086,Nixk,False
32:00,CLASSIC,Lux,13,4,8,MIDDLE,13227,5546,163988,43233,16887,136,19031,142923,Nixk,True
22:46,CLASSIC,Lux,5,2,16,MIDDLE,8485,5568,94848,21764,9820,94,20164,72230,Nixk,True
24:28,CLASSIC,Jinx,1,7,1,BOTTOM,6786,6544,88289,8669,17575,109,72977,625,Nixk,False
15:52,CLASSIC,Twitch,0,2,0,NONE,3941,0,40579,3891,7752,85,32300,0,Nixk,False
1:56,CLASSIC,Twitch,0,0,0,NONE,591,0,840,0,37,4,818,0,Nixk,True
37:54,CLASSIC,Twitch,9,10,24,BOTTOM,14274,9738,145388,35059,32614,111,116816,54,Nixk,True
29:05,CLASSIC,Jhin,5,16,4,BOTTOM,10178,408,114181,8465,30777,123,108551,5430,Nixk,False
33:13,CLASSIC,Jinx,2,11,5,BOTTOM,9630,13468,124211,26539,29334,127,121728,1787,Nixk,False
34:06,CLASSIC,Jinx,11,6,9,BOTTOM,12438,16887,122962,32225,19533,102,120172,1386,Nixk,True
21:40,CLASSIC,Jinx,3,9,6,BOTTOM,6169,344,48284,9160,15469,63,46609,972,Nixk,False
26:27,CLASSIC,Jhin,5,9,4,BOTTOM,9394,5265,91652,11987,19047,93,88314,3011,Nixk,True
29:04,CLASSIC,Jhin,3,10,4,BOTTOM,7368,3370,68315,12420,22688,74,65671,1716,Nixk,False
21:54,CLASSIC,Jhin,16,2,5,BOTTOM,10729,3256,111191,23089,12379,119,96599,8669,Nixk,True
50:06,CLASSIC,Jhin,16,17,14,BOTTOM,19195,4448,336173,36274,48143,202,324698,10294,Nixk,False
38:52,CLASSIC,Jhin,8,11,12,BOTTOM,13588,11910,158902,24186,25780,113,148863,9330,Nixk,True
19:09,CLASSIC,Jhin,2,4,2,NONE,5944,4623,57524,7481,9627,78,55252,1499,Nixk,True
34:30,CLASSIC,Jhin,6,12,6,BOTTOM,10288,9343,133090,27477,28195,104,126088,6413,Nixk,False
42:07,CLASSIC,Jhin,25,17,14,BOTTOM,20649,12050,225953,67807,49520,125,208631,11582,Nixk,True
34:27,CLASSIC,Jhin,8,6,6,BOTTOM,11034,6459,121261,28879,29252,109,111043,8804,Nixk,True
20:58,CLASSIC,Vayne,0,15,0,BOTTOM,3971,746,27583,2530,20661,43,17662,0,Nixk,False
32:23,CLASSIC,Illaoi,3,6,12,BOTTOM,9039,10071,102578,16380,32397,106,95471,836,Nixk,True
34:10,CLASSIC,Karthus,19,15,8,BOTTOM,16364,11633,162753,54712,37504,122,4022,155734,Nixk,False
27:37,CLASSIC,Sett,2,10,4,TOP,8280,2250,110901,12313,32251,134,86068,0,Nixk,False
29:09,CLASSIC,Illaoi,1,8,2,JUNGLE,8248,1800,145721,15285,40639,137,140011,1228,Nixk,False
15:23,CLASSIC,Sett,0,6,1,NONE,3197,183,35410,7840,13493,42,30627,0,Nixk,False
4:22,CLASSIC,Illaoi,0,0,0,NONE,1075,247,7965,1004,1800,12,7886,79,Nixk,True
46:44,CLASSIC,Illaoi,7,12,18,TOP,15638,5699,220954,43275,73374,154,212667,2251,Nixk,True
15:30,CLASSIC,Illaoi,0,5,0,NONE,3006,0,33932,6673,10067,45,33372,560,Nixk,False
26:29,CLASSIC,Illaoi,7,4,10,BOTTOM,9764,8995,125862,17528,28070,111,107841,1092,Nixk,True
34:17,CLASSIC,Sett,0,12,5,TOP,8186,2545,101927,15461,45189,112,89765,0,Nixk,False
15:42,CLASSIC,Ashe,0,7,3,NONE,3599,0,30478,3468,9997,51,27601,157,Nixk,False
29:19,CLASSIC,Karthus,5,13,12,BOTTOM,10788,8494,147929,36945,27376,139,6260,139390,Nixk,True
35:00,CLASSIC,Ashe,4,6,15,BOTTOM,12323,7821,117402,21147,24536,117,109074,2737,Nixk,True
31:43,CLASSIC,Karthus,8,10,9,BOTTOM,13043,8772,144616,37191,21694,119,6395,133358,Nixk,True
43:38,CLASSIC,Karthus,16,15,19,TOP,20137,11384,304398,78752,42274,220,6454,293002,Nixk,False
17:29,CLASSIC,Karthus,1,4,3,NONE,5787,2120,60116,10543,9989,85,3874,54590,Nixk,True
28:27,CLASSIC,Karthus,13,3,5,BOTTOM,11259,6859,117398,32470,20918,129,3411,112947,Nixk,True
31:07,CLASSIC,Karthus,5,13,6,BOTTOM,10390,476,166726,48961,37287,159,8250,155993,Nixk,False
24:39,CLASSIC,Karthus,15,11,3,TOP,12724,14017,112350,36544,22926,104,3279,106984,Nixk,True
18:59,CLASSIC,Karthus,7,3,4,NONE,8403,5125,87790,19624,8941,104,6059,77469,Nixk,True
27:46,CLASSIC,Twitch,2,7,3,BOTTOM,7496,2652,90861,9889,23830,100,62381,315,Nixk,False
27:56,CLASSIC,Sett,0,6,4,JUNGLE,7130,1085,79018,9502,26852,98,66981,153,Nixk,True
20:08,CLASSIC,Sett,3,9,2,JUNGLE,6258,0,58987,15230,21399,60,52985,0,Nixk,False
29:55,CLASSIC,Karthus,10,13,5,BOTTOM,12475,6503,151639,47121,31206,164,5545,143001,Nixk,True
16:35,CLASSIC,Karthus,14,8,6,NONE,9558,1925,83107,31542,13994,86,2560,79215,Nixk,True
26:43,CLASSIC,Karthus,17,12,8,BOTTOM,14288,7814,150664,45092,25480,151,3062,144929,Nixk,True
35:42,CLASSIC,Mordekaiser,1,11,4,BOTTOM,8049,1532,96495,12620,38616,100,14487,81487,Nixk,False
31:23,CLASSIC,Mordekaiser,18,11,9,BOTTOM,14500,4034,118470,43402,53080,110,15024,102238,Nixk,False
34:09,CLASSIC,Sett,20,2,5,TOP,18383,20744,222143,34071,33314,194,188040,0,Nixk,True
16:06,CLASSIC,Mordekaiser,0,7,0,NONE,3670,2193,52622,6197,11140,60,11195,38553,Nixk,False
25:12,CLASSIC,Karthus,6,8,11,BOTTOM,10409,14442,94418,25614,18741,99,3305,89903,Nixk,True
29:09,CLASSIC,Karthus,2,11,12,BOTTOM,9415,1105,146676,34053,26491,166,4126,140650,Nixk,False
23:50,CLASSIC,Karthus,12,6,10,BOTTOM,10880,3437,91405,29324,16880,123,3385,87680,Nixk,True
26:55,CLASSIC,MasterYi,1,14,4,BOTTOM,6418,4003,44104,12446,31631,47,32240,0,Nixk,False
29:40,CLASSIC,Karthus,7,12,12,BOTTOM,11206,15686,118928,33104,27353,107,3658,109328,Nixk,True
29:08,CLASSIC,Karthus,6,12,7,BOTTOM,9562,10753,98744,22824,26465,103,4442,93516,Nixk,True
